x,y,th,vel,w,v_cmd,w_cmd
741963.2044437472,3392367.047952789,-0.04257462476655194,2.8150225206413637e-15,-5.174571708621567e-15,0.48252278566360474,0.035701557993888855
741963.2065514291,3392367.04867089,-0.04257236107962514,2.8150225206413637e-15,-5.174571708621567e-15,0.4825439453125,0.035893671214580536
741963.2087929065,3392367.04929213,-0.04258181530149496,2.8150225206413637e-15,-5.174571708621567e-15,0.4825601577758789,0.03612177073955536
741963.2131085768,3392367.0507253,-0.04259087004920126,2.8150225206413637e-15,-5.174571708621567e-15,0.4825993776321411,0.03652828931808472
741963.2174393875,3392367.0520829125,-0.042586076359238945,2.8150225206413637e-15,-5.174571708621567e-15,0.48263537883758545,0.036941319704055786
741963.2196628534,3392367.052777355,-0.04259153583947395,2.8150225206413637e-15,-5.174571708621567e-15,0.48265260457992554,0.03715822100639343
741963.2339683612,3392367.0651367838,-0.042580483720950024,2.8150225206413637e-15,-5.174571708621567e-15,0.4830414652824402,0.03754839301109314
741963.2384358158,3392367.0666847765,-0.042582481091767654,2.8150225206413637e-15,-5.174571708621567e-15,0.4830765724182129,0.03796707093715668
741963.2406292908,3392367.0673727724,-0.0425870084656208,2.8150225206413637e-15,-5.174571708621567e-15,0.48309028148651123,0.03818432241678238
741963.245123989,3392367.068833357,-0.04255904527417487,2.8150225206413637e-15,-5.174571708621567e-15,0.48312142491340637,0.03860652446746826
741963.2495880348,3392367.070466569,-0.04218114271549256,2.8150225206413637e-15,-5.174571708621567e-15,0.4831808805465698,0.03883548825979233
741963.2519840767,3392367.0716252117,-0.040989777601845745,2.8150225206413637e-15,-5.174571708621567e-15,0.4832897186279297,0.03844510763883591
741963.2530455752,3392367.083395927,-0.03819825214722439,2.8150225206413637e-15,-5.174571708621567e-15,0.4838903546333313,0.03573203086853027
741963.2556897714,3392367.0833281055,-0.04291164780250112,2.8150225206413637e-15,-5.174571708621567e-15,0.4835555851459503,0.038391679525375366
741963.2563449019,3392367.082938443,-0.04802891183708846,0.014922800158814146,-0.027634815108915044,0.482973575592041,0.04190026968717575
741963.2615982274,3392367.0848673317,-0.0505353458970168,0.014922800158814146,-0.027634815108915044,0.4828372001647949,0.04360894858837128
741963.2749350104,3392367.0898659583,-0.04738855475297887,0.029844838385495592,-0.055268219232399204,0.4829162061214447,0.04422520846128464
741963.2876759866,3392367.092300186,-0.04536761495977215,0.09012646136524621,0.0010935346695435735,0.4843605160713196,0.04654862731695175
741963.3213626327,3392367.129777571,-0.041165546233790984,0.09012646136524621,0.0010935346695435735,0.48561179637908936,0.044644907116889954
741963.3780460354,3392367.130603949,-0.03612391597416176,0.15040301400493816,0.0574505479348279,0.48622119426727295,0.052636295557022095
741963.4494559292,3392367.128555341,-0.03236166830220677,0.21068478132309998,0.11381243678947289,0.48561275005340576,0.06330487132072449
741963.4876218336,3392367.127715709,-0.030989075076380157,0.21068478132309998,0.11381243678947289,0.4843583405017853,0.06778918206691742
741963.5680511262,3392367.1279124725,-0.025734391929544742,0.31048321190935774,0.0969672857856398,0.48229047656059265,0.07931756228208542
741963.6089608881,3392367.1297128308,-0.023743412698601585,0.4103064255875111,0.08011795160097122,0.49629610776901245,0.01607557386159897
741963.6623277105,3392367.066036375,-0.019931630230371145,0.4103064255875111,0.08011795160097122,0.4967215061187744,0.028723321855068207
