x,y,th,vel,w,v_cmd,w_cmd
9.94662030952769, 29.05141994899427, 16.23859201595187, 3.76531720161438, 2.6999568939208984, 3.76531720161438, 2.605954647064209
9.784243067300446, 28.956143166520217, 16.373589860647915, 3.76531720161438, 2.605954647064209, 3.76531720161438, 2.287390947341919
9.63616632302056, 28.839879191552036, 16.503887593001124, 3.76531720161438, 2.287390947341919, 3.76531720161438, 2.0367181301116943
9.50445089126738, 28.705361240668125, 16.61825714036822, 3.76531720161438, 2.0367181301116943, 3.76531720161438, 2.0628297328948975
9.388947205055153, 28.556690690311573, 16.720093046873806, 3.76531720161438, 2.0628297328948975, 3.76531720161438, 1.759933352470398
9.289155765384743, 28.397048269130863, 16.82323453351855, 3.76531720161438, 1.759933352470398, 3.76531720161438, 1.0758048295974731
9.206331232218204, 28.227979848727532, 16.911231201142073, 3.76531720161438, 1.0758048295974731, 3.76531720161438, 0.2036719173192978
9.138685429128829, 28.052286708860528, 16.965021442621946, 3.76531720161438, 0.2036719173192978, 3.76531720161438, 0.07311299443244934
9.08058348500493, 27.873210752459464, 16.97520503848791, 3.76531720161438, 0.07311299443244934, 3.76531720161438, -0.0
9.024308159253424, 27.693552405078957, 16.978860688209533, 3.76531720161438, -0.0, 3.76531720161438, -0.0
8.968689976051666, 27.513689535733256, 16.978860688209533, 3.76531720161438, -0.0, 3.7130937576293945, -0.0
8.913071792849907, 27.333826666387555, 16.978860688209533, 3.7130937576293945, -0.0, 3.530311346054077, -0.0
8.858225011609646, 27.156458423119634, 16.978860688209533, 3.530311346054077, -0.0, 3.4676432609558105, -0.0
8.80607814251721, 26.987821388207216, 16.978860688209533, 3.4676432609558105, -0.0, 3.4676432609558105, -0.0
8.754856955074226, 26.82217790231036, 16.978860688209533, 3.4676432609558105, -0.0, 3.446753740310669, -0.1566707044839859
8.703635767631242, 26.656534416413507, 16.978860688209533, 3.446753740310669, -0.1566707044839859, 3.4363090991973877, -0.19844956696033478
8.652723143085892, 26.491888787781075, 16.971027152985332, 3.4363090991973877, -0.19844956696033478, 3.3631961345672607, -0.38645440340042114
8.600680519744854, 26.328144731648187, 16.961104674637316, 3.3631961345672607, -0.38645440340042114, 3.3475289344787598, -0.4125659763813019
8.548157542078467, 26.16839787748205, 16.941781954467295, 3.3475289344787598, -0.4125659763813019, 3.2796382904052734, -0.5170131325721741
8.492816824809074, 26.010434970665163, 16.92115365564823, 3.2796382904052734, -0.5170131325721741, 3.24308180809021, -0.6684612035751343
8.435417803687994, 25.85682696089981, 16.89530299901962, 3.24308180809021, -0.6684612035751343, 3.227414846420288, -0.6684612035751343
8.37475137512674, 25.7064489921659, 16.861879938840865, 3.227414846420288, -0.6684612035751343, 3.227414846420288, -0.7467967867851257
8.309410857438754, 25.55889854917944, 16.82845687866211, 3.227414846420288, -0.7467967867851257, 3.227414846420288, -0.7729083895683289
8.239176163124197, 25.4136139863664, 16.791117039322852, 3.227414846420288, -0.7729083895683289, 3.227414846420288, -0.8773555159568787
8.163566784262077, 25.271052637097675, 16.752471619844435, 3.227414846420288, -0.8773555159568787, 3.2065253257751465, -0.9922473430633545
8.082505886576385, 25.13151895892776, 16.708603844046593, 3.2065253257751465, -0.9922473430633545, 3.1804137229919434, -1.0288035869598389
7.9959676730341425, 24.996553595745162, 16.658991476893426, 3.1804137229919434, -1.0288035869598389, 3.159524440765381, -1.0653603076934814
7.9036010766140885, 24.867108663479492, 16.607551297545434, 3.159524440765381, -1.0653603076934814, 3.143857002258301, -1.1175838708877563
7.805350510467845, 24.743402103502152, 16.55428328216076, 3.143857002258301, -1.1175838708877563, 3.159524440765381, -1.3003661632537842
7.701171990926502, 24.62568877293677, 16.498404088616372, 3.159524440765381, -1.3003661632537842, 3.143857002258301, -1.4779263734817505
7.590030646284268, 24.513420842339467, 16.433385780453683, 3.143857002258301, -1.4779263734817505, 3.1334123611450195, -1.6032629013061523
7.472415942105232, 24.409130989105805, 16.359489461779596, 3.1334123611450195, -1.6032629013061523, 3.1229677200317383, -1.6189297437667847
7.347837852520047, 24.314125819995137, 16.27932631671429, 3.1229677200317383, -1.6189297437667847, 3.1229677200317383, -1.6032629013061523
7.216491350293982, 24.229684036476083, 16.19837982952595, 3.1229677200317383, -1.6032629013061523, 3.1073007583618164, -1.6293745040893555
7.078747122516129, 24.15613917829563, 16.118216684460645, 3.1073007583618164, -1.6293745040893555, 3.1073007583618164, -1.6293745040893555
6.936274309751638, 24.094173117986262, 16.03674795925618, 3.1073007583618164, -1.6293745040893555, 3.1073007583618164, -1.6815980672836304
6.789231329072235, 24.044006826114064, 15.95527923405171, 3.1073007583618164, -1.6815980672836304, 3.1073007583618164, -1.707709550857544
6.638593587592729, 24.00597307992409, 15.87119933068753, 3.1073007583618164, -1.707709550857544, 3.1073007583618164, -1.7181543111801147
6.485293886821131, 23.980724381925416, 15.785813853144653, 3.1073007583618164, -1.7181543111801147, 3.1073007583618164, -1.7181543111801147
6.330399422663595, 23.968641336752967, 15.699906137585646, 3.1073007583618164, -1.7181543111801147, 3.1073007583618164, -1.7181543111801147
6.175039427661471, 23.969893119573534, 15.61399842202664, 3.1073007583618164, -1.7181543111801147, 3.096856117248535, -1.7338216304779053
6.020359774658664, 23.98447049774045, 15.528090706467633, 3.096856117248535, -1.7338216304779053, 3.096856117248535, -1.7338216304779053
5.868015125194926, 24.012172524870603, 15.441399624943738, 3.096856117248535, -1.7338216304779053, 3.1073007583618164, -1.7338216304779053
5.718641090277889, 24.0529609082653, 15.354708543419843, 3.1073007583618164, -1.7338216304779053, 3.1073007583618164, -1.7338216304779053
5.572869579109927, 24.10670996908592, 15.268017461895948, 3.1073007583618164, -1.7338216304779053, 3.096856117248535, -1.7338216304779053
5.432299216509608, 24.172878452261102, 15.181326380372052, 3.096856117248535, -1.7338216304779053, 3.1073007583618164, -1.7181543111801147
5.298437246438515, 24.250706901404296, 15.094635298848157, 3.1073007583618164, -1.7181543111801147, 3.096856117248535, -1.7181543111801147
5.171389506860452, 24.340133781453833, 15.00872758328915, 3.096856117248535, -1.7181543111801147, 3.096856117248535, -1.7181543111801147
5.052882988792662, 24.439795708501215, 14.922819867730144, 3.096856117248535, -1.7181543111801147, 3.1073007583618164, -1.7442662715911865
