x,y,th,vel,w,v_cmd,w_cmd
754855.026381,3390420.49992,-2.5841054194363444,0.00659024311613,-0.000108080335209,-0.0,-0.0
754855.026069,3390420.50383,-2.5840841141476245,0.00724456256056,0.000418861233321,-0.0,-0.0
754855.025783,3390420.50323,-2.5840825162509695,0.0167955251824,0.000423620659043,-0.0,-0.0
754855.026611,3390420.50493,-2.5840743936096455,0.0108600602904,-0.00116752841263,-0.0,-0.0
754855.027823,3390420.50726,-2.5840300519774964,0.00701876392219,-0.000639506537767,-0.0,-0.0
754855.024046,3390420.5092,-2.5840068824760127,0.0160335188848,0.000424692301066,-0.0,-0.0
754855.024572,3390420.51031,-2.5840002245732867,0.0100922079836,0.000425682561384,-0.0,-0.0
754855.025014,3390420.51148,-2.5839802508651113,0.0116487381653,-0.000106417257249,-0.0,-0.0
754855.026481,3390420.51515,-2.5839468281934312,0.00645267998768,-0.00116721308915,-0.0,-0.0
754855.027031,3390420.51625,-2.583943232925959,0.00661077418919,0.000416000599655,-0.0,-0.0
754855.028033,3390420.51864,-2.583933911862144,0.0112142254734,-0.000638523316815,-0.0,-0.0
754855.028534,3390420.51984,-2.583937773445725,0.00663149107601,-0.000637367874886,-0.0,-0.0
754855.033218,3390420.52025,-2.5839208623728025,0.0133819892849,-0.000638531109726,-0.0,-0.0
754855.03379,3390420.52145,-2.5839040844579344,0.0155993409574,-0.00063853334498,-0.0,-0.0
754855.03439,3390420.52254,-2.5838967607649375,0.0158313349173,-0.000638518714339,-0.0,-0.0
754855.035551,3390420.52498,-2.5838702623120913,0.00677810910585,-0.000636516457509,-0.0,-0.0
754855.031503,3390420.5255,-2.5838609412482754,0.00749683507531,-0.000637477519621,-0.0,-0.0
754855.031949,3390420.5267,-2.5838376385887374,0.0148546841995,-0.00116964025791,-0.0,-0.0
754855.032511,3390420.52789,-2.5838187301449977,0.0160092121798,-0.000639549569108,-0.0,-0.0
754855.033526,3390420.53029,-2.583788503266625,0.011299467347,-0.0011686327629,-0.0,-0.0
754855.030548,3390420.52645,-2.5837890358988442,0.0072395791149,-0.000637509731883,-0.0,-0.0
754855.031096,3390420.52757,-2.583777584306156,0.0146896045074,-0.000638531386841,-0.0,-0.0
754855.031508,3390420.52871,-2.5837707932453764,0.0157675673184,-0.00116957887189,-0.0,-0.0
754855.031959,3390420.52979,-2.5837514853274737,0.00685186785619,-0.000636668059642,-0.0,-0.0
754855.033551,3390420.53087,-2.5837381695220234,0.00668190196366,-0.000107418634093,-0.0,-0.0
754855.034475,3390420.53298,-2.583683175245513,0.0154744748726,-0.000107422623619,-0.0,-0.0
754855.034992,3390420.53408,-2.583682908929404,0.0102414838392,-0.000637490024921,-0.0,-0.0
754855.035486,3390420.53521,-2.5836757183944608,0.00674923576287,-0.000106833157061,-0.0,-0.0
754855.034501,3390420.53437,-2.583667196278972,0.00657486113293,-0.000637777469347,-0.0,-0.0
754855.034843,3390420.5354,-2.583653347841304,0.0131795720552,-0.000638531912657,-0.0,-0.0
754855.036128,3390420.53863,-2.5836130009507894,0.00975340360614,-0.000638516096272,-0.0,-0.0
754855.034468,3390420.53935,-2.583607008838337,0.00654602250665,-0.000634388241356,-0.0,-0.0
754855.034853,3390420.54038,-2.583599152513121,0.00659585703294,-0.000106199986617,-0.0,-0.0
754855.035179,3390420.54152,-2.583589431975142,0.018371122008,0.0004246548882,-0.0,-0.0
754855.035652,3390420.54253,-2.583564664577004,0.00947135389772,-0.00063851643643,-0.0,-0.0
754855.034394,3390420.54937,-2.5835243176864893,0.0073286913771,-0.00063778343609,-0.0,-0.0
754855.035092,3390420.55157,-2.583514597148511,0.0150139062533,-0.000105420050104,-0.0,-0.0
754855.035363,3390420.55284,-2.583511001881039,0.00921734372492,-0.000637481882252,-0.0,-0.0
754855.035735,3390420.55398,-2.5834956887047715,0.010828973369,-0.000638522897244,-0.0,-0.0
754855.039776,3390420.55636,-2.5834841039540297,0.0201592217465,-0.00117063359908,-0.0,-0.0
754855.040676,3390420.55865,-2.5834446891698963,0.0145719036651,-0.000637516115528,-0.0,-0.0
754855.045568,3390420.57357,-2.583427112306701,0.010436919093,-0.000106420425246,-0.0,-0.0
754855.046019,3390420.57493,-2.583429375993628,0.019976648887,0.000424654433599,-0.0,-0.0
754855.047118,3390420.57772,-2.583423916513394,0.0148439080434,-0.000108482610184,-0.0,-0.0
754855.051239,3390420.58205,-2.583401812276346,0.00664130000861,0.000951037124487,-0.0,-0.0
754855.051798,3390420.58357,-2.583388230154787,0.00663035514547,-0.000638655824575,-0.0,-0.0
754855.052347,3390420.58493,-2.5833731832946274,0.0133002120528,-0.000638533614263,-0.0,-0.0
754855.053426,3390420.58768,-2.5833405595712744,0.00990934272756,-0.00116862416768,-0.0,-0.0
754855.059771,3390420.59266,-2.5833113979573383,0.00662784990446,0.000425804034876,-0.0,-0.0
754855.060405,3390420.59413,-2.5832963510971787,0.0112716038231,0.000955721154446,-0.0,-0.0
754855.061036,3390420.5956,-2.583278507917875,0.0126225333195,-0.000105381963614,-0.0,-0.0
754855.062753,3390420.60119,-2.5832522757811383,0.00659302627306,-0.00168917791886,-0.0,-0.0
754855.063952,3390420.60411,-2.583217521528912,0.0148264241758,-0.000637497442552,-0.0,-0.0
754855.064658,3390420.60555,-2.5832108636261877,0.00908792919612,-0.00116961495609,-0.0,-0.0
754855.06811,3390420.59908,-2.583193819395211,0.00693351743139,-0.000629053130862,-0.0,-0.0
754855.069584,3390420.60172,-2.583193819395211,0.00690050130319,-0.00116484053395,-0.0,-0.0
754855.070271,3390420.60298,-2.5831734462128715,0.0139771687849,-0.000109530184692,-0.0,-0.0
754855.066013,3390420.60258,-2.5831825009605778,0.00848528087713,-0.000106423494208,-0.0,-0.0
754855.067179,3390420.60511,-2.5831638588329477,0.00683040438548,-0.00010542641863,-0.0,-0.0
754855.068459,3390420.60755,-2.583174378319253,0.0143636196665,-0.000638533200807,-0.0,-0.0
754855.064909,3390420.60977,-2.583170516735672,0.0103416578965,-0.000108480679595,-0.0,-0.0
754855.065496,3390420.61097,-2.583159730933258,0.00703505544611,-0.000633620607475,-0.0,-0.0
754855.065214,3390420.61034,-2.583171049367891,0.0192137746017,-0.000638524111983,-0.0,-0.0
754855.066581,3390420.6134,-2.5831092640306004,0.00848564443727,0.000423676808576,-0.0,-0.0
754855.073819,3390420.62147,-2.5830653218726143,0.00706821219164,-0.000635219139307,-0.0,-0.0
754855.074576,3390420.62278,-2.5830462802708203,0.00703089398841,-0.000106211743893,-0.0,-0.0
754855.075837,3390420.62523,-2.583003802851434,0.00788623796866,-0.000107450996282,-0.0,-0.0
754855.077093,3390420.62455,-2.5829974112648175,0.0157206790227,-0.000106422309258,-0.0,-0.0
754855.077809,3390420.62569,-2.5829912859943107,0.0172911605871,0.000424649132914,-0.0,-0.0
754855.079219,3390420.62815,-2.5829931502070735,0.00677844878365,-0.000107091631988,-0.0,-0.0
754855.079931,3390420.62935,-2.5829970117906544,0.00677076629657,-0.000106416757771,-0.0,-0.0
754855.074631,3390420.62737,-2.5829938159973462,0.0132859846327,-0.000637495420436,-0.0,-0.0
754855.075201,3390420.62847,-2.5829690485992085,0.0156155971077,-0.000638515358545,-0.0,-0.0
754855.075827,3390420.62962,-2.582945879097725,0.0104645635342,0.000424634084303,-0.0,-0.0
754855.077048,3390420.63169,-2.582932296976165,0.00672324359763,-0.00117060289262,-0.0,-0.0
754855.070696,3390420.63098,-2.5829117906357713,0.0136608739509,-0.000108482395714,-0.0,-0.0
754855.071705,3390420.63308,-2.5828737074321833,0.0104822948467,-0.000638519569645,-0.0,-0.0
