x,y,th,vel,w,v_cmd,w_cmd
741985.6991738165,3391560.8098347248,1.6355357006224995,0.001920331771978266,7.305118752679356e-05,1.0,-4.0
741985.6991932757,3391560.808923407,1.6355409437208959,0.0019043876867796358,-0.002050158691667086,1.0,-4.0
741985.7038776146,3391560.7996339113,1.6355606677577192,0.004210972525230735,7.242352733785075e-05,1.0,-4.0
741985.7036679684,3391560.797849108,1.635528659890367,0.003049122227037204,7.345899048040862e-05,1.0,-4.0
741985.7034942897,3391560.7969521517,1.6355368615942876,0.001988141875986383,-0.0004555745581663346,1.0,-4.0
741985.7111453377,3391560.801118398,1.6355800963501093,0.004803674883902986,-0.0015208354570584914,1.0,-4.0
741985.7096703022,3391560.7998301648,1.629487753333092,-0.01866620943153907,-0.15927759900054467,1.0,-4.0
741985.7049812644,3391560.800246393,1.6158606118676984,-0.020402141553814923,-0.2936834158612605,1.0,-4.0
741985.694115914,3391560.7598305927,1.5647321326623933,-0.0473412450446569,-0.6425816741418159,1.0,-4.0
741985.6757025977,3391560.759674963,1.5050271418632732,0.0022194958504065092,-0.7613328093997269,1.0,-4.0
741985.6662967484,3391560.7638057508,1.4778949315789518,0.0026284456817712507,-0.6753656839576644,1.0,-4.0
741985.6245655938,3391560.7394111706,1.4296147504930143,0.01759621910358189,-0.5309539893669672,1.0,-4.0
741985.6099347123,3391560.746240965,1.398251900757642,0.0012744211864431287,-0.41777048635824865,1.0,-4.0
741985.6053795147,3391560.74851583,1.3930938570688625,-0.0023743874193571726,-0.2888582232073391,1.0,-4.0
741985.622152555,3391560.750052002,1.3837524367160032,0.018670674212204363,-0.13878073992022597,1.0,-4.0
741985.6278174032,3391560.77240598,1.377382205322804,0.08189234479592714,-0.04783969912291725,1.0,-4.0
741985.6260082471,3391560.7776867156,1.3695131468681083,0.08723113377088439,-0.1730888096657891,1.0,-4.0
741985.5800552298,3391560.7851968086,1.3626214019544447,0.06691262191549595,-0.062244661636221076,1.0,-4.0
741985.5685726812,3391560.788429118,1.344967157285498,0.10502838283549744,-0.26805929723138133,1.0,-4.0
741985.5661427777,3391560.792004435,1.3455173663667086,0.13512686109595282,-0.13606498007731957,1.0,-4.0
741985.5688326851,3391560.7274201885,1.344248253593988,0.1579576736236699,-0.007881586085297093,1.0,-4.0
741985.5599390243,3391560.725053931,1.333178574851721,0.18815828307462934,-0.08019066793560192,1.0,-4.0
741985.559146184,3391560.7282000673,1.3304100191615014,0.17862961488591372,-0.15995242585078107,1.0,-4.0
741985.5958880564,3391560.7002456216,1.3346789665203582,0.1602921378277788,0.02543993735029952,1.0,-4.0
741985.5958791324,3391560.6927254186,1.3367852939160159,0.11179559640320018,0.044251308361988505,1.0,-4.0
741985.5936555306,3391560.688298315,1.3364309270434669,0.09603639927041073,-0.0036355231098394412,1.0,-4.0
741985.6098522273,3391560.7156566298,1.335689919114909,0.0876748751172709,-0.013751101553778459,1.0,-4.0
741985.6041699561,3391560.7103480515,1.3339273725264675,0.06677008741596924,-0.025455934334741463,1.0,-4.0
741985.603417527,3391560.7084927834,1.3335086070898097,0.051657376355579855,-0.0068729558911089315,1.0,-4.0
741985.600999086,3391560.701359245,1.3331022253522198,0.04936688177858227,-0.01216245744878697,1.0,-4.0
741985.6011606455,3391560.6983433845,1.3334408795743373,0.025596515127751192,0.003263294028305692,1.0,-4.0
741985.600681362,3391560.6972190957,1.3335781655285306,0.012310468380228761,0.0016795829023603485,1.0,-4.0
741985.616419546,3391560.68289356,1.3334046772282688,0.006416176535414047,-0.0020559477291620214,1.0,-4.0
741985.6136188905,3391560.679468469,1.3335167796654046,-0.0012875026038059224,0.0011365104573372927,1.0,-4.0
741985.6125178252,3391560.677550184,1.3336194112359134,-0.0023706753541553583,0.00273388316285937,1.0,-4.0
741985.6146296065,3391560.6711742175,1.3335731055224596,-0.0012948172721014978,-0.003120362708177791,1.0,-4.0
741985.6138550214,3391560.6686287476,1.3335016995157316,0.0032241350484807398,-0.0009919594723068943,1.0,-4.0
741985.6133240925,3391560.6674078563,1.333369040803932,-0.0003980501882069262,-0.004709534408772021,1.0,-4.0
741985.6238628605,3391560.6591494475,1.331034330700044,-0.003094897741839376,-0.03279984951641505,1.0,-4.0
741985.6201509434,3391560.6549490294,1.3246873686768694,-0.03836121117345713,-0.05573819038123577,1.0,-4.0
