x,y,th,vel,w,v_cmd,w_cmd
741987.9089443488,3391560.0724678063,1.4086076359459287,0.007096651387166216,-0.0015208360558655327,0.0,-4.0
741987.9077861386,3391560.072486727,1.4086069035766284,0.004314628017476569,-0.000990731052403162,0.0,-4.0
741987.9001643528,3391560.066818695,1.4086083683152282,0.008852152973957023,-0.00045968947674563873,0.0,-4.0
741987.8978781542,3391560.0668473733,1.4085988974486021,0.0074960933538309165,-0.0004596855611637967,0.0,-4.0
741987.8967204039,3391560.066900139,1.4086009946879603,0.004375310875959064,7.345443165910639e-05,0.0,-4.0
741987.8886246189,3391560.060012765,1.408558717005655,0.0038467858778761573,-0.00045424335480678417,0.0,-4.0
741987.882662741,3391560.0606531426,1.3956314667583012,-0.01680250487020757,-0.17895241734297293,0.0,-4.0
741987.8634460355,3391560.0454368223,1.3505762572391529,-0.027530507285541843,-0.5870943813943673,0.0,-4.0
741987.8477737554,3391560.0412486913,1.315431602242569,-0.09423312789441238,-0.9057666078280191,0.0,-4.0
741987.8045751872,3391560.0155402073,1.230492509408987,-0.14628496215091008,-1.0822150217329767,0.0,-4.0
741987.779057272,3391560.0010956815,1.184413863727677,-0.144209626233165,-1.1305444992656857,0.0,-4.0
741987.7381211058,3391560.0230777343,1.0894506325510358,-0.17294175073795215,-1.1698760629070226,0.0,-4.0
741987.6937558444,3391560.0048669917,0.9963801099611143,-0.21283208460714578,-1.1678794363795135,0.0,-4.0
741987.6731806478,3391559.996272194,0.9505556297163391,-0.2566016071721507,-1.140813390825716,0.0,-4.0
741987.6010041919,3391559.9659361704,0.8379583772502794,-0.3393795050923367,-1.1173838797749847,0.0,-4.0
741987.5633653488,3391559.954750743,0.7731299123618349,-0.34248423080414814,-1.0812773544962453,0.0,-4.0
741987.5365191873,3391559.948172297,0.7297439555691905,-0.39414284089605484,-1.07576099896391,0.0,-4.0
741987.463772782,3391559.9129974972,0.6412733446825944,-0.44882042249353465,-1.101025887553148,0.0,-4.0
741987.4064718513,3391559.905422991,0.5580323832285874,-0.4331482346123431,-1.0450227768485663,0.0,-4.0
741987.3770852678,3391559.9009064035,0.5175014682825623,-0.4769601867463768,-1.0404207254621929,0.0,-4.0
741987.3150509472,3391559.8754166816,0.4340494513121662,-0.5040110102969529,-1.0511383537258647,0.0,-4.0
741987.2538858727,3391559.872525791,0.3572806370973245,-0.5234708796892217,-0.9721674477033103,0.0,-4.0
741987.2209973624,3391559.8712580474,0.3166128356712692,-0.5610724583927682,-1.016737135637433,0.0,-4.0
741987.1411936216,3391559.864782788,0.23847542297223523,-0.5878733556227288,-0.9715250071243107,0.0,-4.0
741987.0721663235,3391559.869620186,0.15632289545574363,-0.5836298091065543,-0.9949198950822586,0.0,-4.0
741987.0384218057,3391559.8746960824,0.11455241218034118,-0.6227055935847614,-0.9738773852601135,0.0,-4.0
741986.9399331205,3391559.849154981,0.03649609273650034,-0.6349117433930112,-1.0225880366594025,0.0,-4.0
741986.871420247,3391559.8665055283,-0.05376482819290107,-0.592296274554578,-1.1023874474432926,0.0,-4.0
741986.8410394792,3391559.8795783077,-0.10362319854081958,-0.6216073963942739,-1.302333866644554,0.0,-4.0
741986.783884564,3391559.92700373,-0.2173268612817525,-0.6113840986873141,-1.5194676041285522,0.0,-4.0
741986.7463383568,3391559.9611728215,-0.3441886703365493,-0.5763607699054316,-1.557876026282974,0.0,-4.0
741986.7333262437,3391559.9790477417,-0.41113454802868876,-0.5881844872042478,-1.721185003810703,0.0,-4.0
741986.7403528308,3391560.028236357,-0.5524816897265898,-0.5493046400292555,-1.8026716244331766,0.0,-4.0
741986.7393676263,3391560.0647885287,-0.7009557168176519,-0.5285993061311699,-1.8181249336648329,0.0,-4.0
741986.7439274112,3391560.082773222,-0.7783788697123266,-0.4489147846739004,-1.9420788671706584,0.0,-4.0
741986.775398041,3391560.131635168,-0.9425853877849768,-0.34687759614965424,-2.1144361719206,0.0,-4.0
741986.8126067773,3391560.159399866,-1.1142522190192672,-0.31108756989465036,-2.128879689892225,0.0,-4.0
741986.8353145753,3391560.16814326,-1.201533595321088,-0.18729500298587584,-2.1741264833560083,0.0,-4.0
741986.8595339935,3391560.2111794786,-1.3769751910844557,-0.06418507613770517,-2.1954562697093833,0.0,-4.0
741986.9084243199,3391560.206506181,-1.5511888032691878,-0.011699041802464775,-2.201900342336268,0.0,-4.0
