x,y,th,v,z
741959.7082502687, 3392368.8202428035, -0.15579665482434413, -0.0016361995738708895, -0.0015258689985946903
741959.9386463717, 3392368.358664924, -0.19653929107703005, 0.03449460448070034, -0.013764932028001069
741960.2643462659, 3392367.9513829243, -0.2077116513240762, 0.07562776283753829, -0.0004682612685450128
741960.7682557694, 3392367.815035486, -0.2106447237906348, 0.2679666129287108, -0.012168626357149956
741961.2730336414, 3392367.709908498, -0.21381961128417304, 0.8846263638040639, -0.02119864026144285
741961.7956529348, 3392367.7040895717, -0.2142144249157769, 1.287666214147303, 8.598769281718127e-05
741962.2800995334, 3392367.502877585, -0.20635077600704574, 1.4229230526479737, 0.06868141336288193
741962.8035818931, 3392367.3663069517, -0.18609357433341245, 1.5184288553888985, 0.05802135742192794
741963.3606034034, 3392367.330930036, -0.1472309966522678, 1.5775834882180435, 0.09371121560596253
741963.8820899068, 3392367.276027998, -0.12690055804865708, 1.6253837211929143, -0.02119368761851863
741964.4700268606, 3392367.4365565917, -0.12953961753087118, 1.7858199039596419, -0.011659128784289536
741965.1723821096, 3392367.501037155, -0.12451343360556465, 1.9009327795738942, 0.002598889957116635
741965.6912133516, 3392367.395506859, -0.12299423336172888, 1.9634441398519629, -0.002053516140836012
741966.2572568636, 3392367.353405613, -0.12390090655484665, 2.061060986911388, 0.02026326823180184
741966.8673587927, 3392367.3367911326, -0.1222034076760301, 2.145712317520569, 0.010967687329271952
741967.3831288661, 3392367.3104337864, -0.12276853045934465, 2.185572317194242, -0.01322923094511932
741967.8899960289, 3392367.304902728, -0.11977154212662412, 2.1996178605456755, 0.03679203726737048
741968.4949494194, 3392367.230608146, -0.1206859384869028, 2.2111335211677616, 0.008030061218679205
741969.0917049879, 3392367.199283565, -0.10933554592098504, 2.1928748465457963, 0.008085723873774295
741969.663170028, 3392367.0872516567, -0.08359462924676953, 2.270439646300323, 0.15912109714996736
741970.1506736194, 3392366.919460627, -4.673847713076995e-05, 2.2726412424213587, 0.3842194469343798
741970.7560508802, 3392366.8548603626, 0.10280334439923866, 2.285843423871976, 0.42998418658300375
741971.3387721078, 3392366.878175229, 0.19913427524320326, 2.25639110769513, 0.44601441111976464
741971.9664486739, 3392366.972548658, 0.30666073583569764, 2.253699417143113, 0.4603289702075609
741972.4684851173, 3392367.103377301, 0.41893561265180335, 2.228381013460293, 0.4704802854686571
741973.1623202994, 3392367.2096729744, 0.5617683987638049, 2.2689259139576183, 0.5576903162572341
741973.6854325186, 3392367.3990415656, 0.6636351094076627, 2.290311924161513, 0.4000420452855366
741974.1872905622, 3392367.7398839337, 0.7356357334277996, 2.301366261703656, 0.2068078132689809
741974.6137405095, 3392368.148322538, 0.7938030997977386, 2.3063954426143423, 0.2804768325973279
741974.9490217321, 3392368.526189608, 0.8493945236032978, 2.3323924071383426, 0.24218043623160998
